,순위,곡,가수,링크,앨범
56,57,슬픈 초대장,순순희 (지환),https://music.youtube.com/watch?v=2ESaNbQiJJQ&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,슬픈 초대장
57,58,Deja Vu,투모로우바이투게더,https://music.youtube.com/watch?v=1MzNUehZ2cU&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,minisode 3: TOMORROW
58,59,그대... 떠나도,김호중,https://music.youtube.com/watch?v=TMPtjE1Mgpo&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,A LIFE(세상)
59,60,그라데이션,10CM,https://music.youtube.com/watch?v=fbmStVcCL8s&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,5.3
60,61,꽃송이가,버스커 버스커 (Busker Busker),https://music.youtube.com/watch?v=HRadddyS5jg&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,버스커 버스커 1집
61,62,Blueming,아이유(IU),https://music.youtube.com/watch?v=I0_ZXHzKysc&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Love Poem
62,63,BATTER UP (7 ver.),BABYMONSTER,https://music.youtube.com/watch?v=Fvxa9G3UHgg&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,BABYMONS7ER
63,64,미안해 미워해 사랑해,Crush,https://music.youtube.com/watch?v=zFpoaELOrTo&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,눈물의 여왕 OST Part.4
64,65,Love me or Leave me,DAY6(데이식스),https://music.youtube.com/watch?v=0JxcsbPcEpU&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,
65,66,티라미수 케익,10CM,https://music.youtube.com/watch?v=93hYnBLWubE&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,티라미수 케익 (남은 인생 10년 X 10CM)
66,67,Love story,볼빨간사춘기,https://music.youtube.com/watch?v=WelKAFjKnDE&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Seoul
67,68,High Hopes,Panic! At The Disco,https://music.youtube.com/watch?v=GJY8OMJXRAk&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Pray for the Wicked
68,69,LADY,Kenshi Yonezu,https://music.youtube.com/watch?v=zOkIe3RcTCs&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,LADY
69,70,Rabbit Hole,DECO*27,https://music.youtube.com/watch?v=MTXs3LIAE24&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Rabbit Hole
70,71,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,Jang Beom June,https://music.youtube.com/watch?v=_pcl_JPqMfw&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,"멜로가 체질, Part 3 (OST)"
71,72,Wife,(여자)아이들,https://music.youtube.com/watch?v=B0WWnKfat1A&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,2
72,73,여행,볼빨간사춘기,https://music.youtube.com/watch?v=DMcRIihAq9Q&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,"Red Diary, Page 2"
73,74,봄이야,경서,https://music.youtube.com/watch?v=l-ZJLSMK0ic&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,봄이야
74,75,Architect,Livingston,https://music.youtube.com/watch?v=QkNzZUVToyM&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,A Hometown Odyssey
75,76,ONE SPARK,TWICE,https://music.youtube.com/watch?v=FRx4TH0rFvs&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,With YOU-th
76,77,꼴통 (feat. 창모),김하온,https://music.youtube.com/watch?v=9QMaUl26Qzk&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,HAONOAH
77,78,LOVE BLOSSOM (러브블러썸),케이윌(K.will),https://music.youtube.com/watch?v=jaeE4rY3aOI&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,The 3rd Album Part.2 'Love Blossom (러브블러썸)'
78,79,I’m Ready,청하,https://music.youtube.com/watch?v=zTtkQ4Af-6U&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,EENIE MEENIE
79,80,관객이 될게 (I stan U),아이유,https://music.youtube.com/watch?v=_ZfT3M6ZKEM&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,The Winning
80,81,못 죽는 기사와 비단 요람,LUCY,https://music.youtube.com/watch?v=sNYW4GE8jgk&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,못 죽는 기사와 비단 요람
81,82,폰서트 Phonecert,10cm,https://music.youtube.com/watch?v=txi3VEdStJ4&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,4.0
82,83,STUPID IN LOVE (feat. HUH YUNJIN),MAX,https://music.youtube.com/watch?v=LUpHPW1nBkA&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,STUPID IN LOVE
83,84,혹시 세상에 혼자 남겨진 것 같다면,우디 (Woody),https://music.youtube.com/watch?v=T5BxR0KNyyQ&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,
84,85,Some Like It Hot!!,SPYAIR,https://music.youtube.com/watch?v=FXppROCqu94&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Samurai Heart (Some Like It Hot!!)
85,86,Smoothie,NCT DREAM,https://music.youtube.com/watch?v=Y2MzLqOW0yI&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,DREAM( )SCAPE
